timestamp,ticker,signal,confidence,strategy_name,target_weight
2024-01-02,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-03,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-04,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-05,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-08,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-09,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-10,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-11,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-12,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-15,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-16,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-17,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-18,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-19,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-22,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-23,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-24,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-25,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-26,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-01-29,AAA,1.0,0.306491130407894,trend_momentum_v1,0.3333333333333333
2024-01-30,AAA,1.0,0.3872161606688512,trend_momentum_v1,0.3333333333333333
2024-01-31,AAA,1.0,0.39664086406591875,trend_momentum_v1,0.5
2024-02-01,AAA,1.0,0.44506967775732337,trend_momentum_v1,0.5
2024-02-02,AAA,1.0,0.4617396061009931,trend_momentum_v1,0.5
2024-02-05,AAA,1.0,0.47472162909223303,trend_momentum_v1,0.5
2024-02-06,AAA,1.0,0.3525967758321519,trend_momentum_v1,0.5
2024-02-07,AAA,1.0,0.3569838617001013,trend_momentum_v1,0.5
2024-02-08,AAA,1.0,0.28021567186953783,trend_momentum_v1,0.5
2024-02-09,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-12,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-13,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-14,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-15,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-16,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-19,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-20,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-21,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-22,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-23,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-26,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-27,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-28,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-02-29,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-03-01,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-03-04,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-03-05,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-03-06,AAA,0.0,0.1875,trend_momentum_v1,0.0
2024-03-07,AAA,0.0,0.1875,trend_momentum_v1,0.0
