date,ticker,open,high,low,close,volume,return_1d,rolling_mean_5,rolling_mean_20,rolling_std_5,rolling_std_20,momentum_10,drawdown_20,high_low_range,price_above_ma20,timestamp,signal,confidence,strategy_name,target_weight,approved_weight,risk_flag,risk_notes,executed_weight,turnover,transaction_cost,asset_return,strategy_gross_return,strategy_net_return
2024-01-02,AAA,104.34,104.39,103.89,104.26,816325,0.0,,,,,,0.0,0.00479570305006714,0,2024-01-02,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,AAA,104.68,104.73,103.41,103.62,681103,-0.006138499904085992,,,,,,-0.006138499904085992,0.012738853503184783,0,2024-01-03,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,-0.006138499904085992,-0.0,-0.0
2024-01-04,AAA,103.99,104.38,103.1,103.67,809901,0.0004825323296659967,,,,,,-0.00565892959907921,0.012346869875566713,0,2024-01-04,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.0004825323296659967,0.0,0.0
2024-01-05,AAA,103.61,104.03,103.6,103.97,759902,0.00289379762708597,,,,,,-0.00278150776903896,0.004135808406271106,0,2024-01-05,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.00289379762708597,0.0,0.0
2024-01-08,AAA,104.27,105.48,103.95,104.98,719610,0.009714340675194721,104.1,,0.005722542319984253,,,0.0,0.014574204610401991,0,2024-01-08,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.009714340675194721,0.0,0.0
2024-01-09,AAA,105.08,105.43,104.63,104.73,889633,-0.0023814059820918,104.194,,0.005961317269723562,,,-0.0023814059820918,0.007638689964671167,0,2024-01-09,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,-0.0023814059820918,-0.0,-0.0
2024-01-10,AAA,105.19,105.28,101.73,101.98,778781,-0.026257996753556778,103.86600000000001,,0.013691020696648652,,,-0.02857687178510193,0.03481074720533435,0,2024-01-10,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,-0.026257996753556778,-0.0,-0.0
2024-01-11,AAA,101.0,103.28,100.22,102.83,765455,0.008334967640713842,103.69800000000001,,0.014624645774592588,,,-0.020480091445989723,0.029757852766702345,0,2024-01-11,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.008334967640713842,0.0,0.0
2024-01-12,AAA,102.44,104.06,101.7,103.37,776711,0.005251385782359286,103.578,,0.014839729436036115,,,-0.015336254524671356,0.02283060849376027,0,2024-01-12,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.005251385782359286,0.0,0.0
2024-01-15,AAA,103.23,104.29,102.27,102.5,797030,-0.00841636838541171,103.08200000000002,,0.013719281773754524,,,-0.023623547342350948,0.019707317073170832,0,2024-01-15,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,-0.00841636838541171,-0.0,-0.0
2024-01-16,AAA,102.4,102.49,100.43,100.84,842247,-0.016195121951219527,102.304,,0.01450553301608174,,-0.032802608862459226,-0.03943608306344071,0.02042840142800464,0,2024-01-16,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,-0.016195121951219527,-0.0,-0.0
2024-01-17,AAA,100.65,102.37,100.2,101.68,816845,0.008330027766759285,102.244,,0.011159106258490098,,-0.018722254391044135,-0.031434558963612136,0.021341463414634162,0,2024-01-17,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.008330027766759285,0.0,0.0
2024-01-18,AAA,101.15,102.0,100.88,101.28,1003353,-0.00393391030684509,101.934,,0.010009684253190224,,-0.023053921095784746,-0.03524480853495904,0.011058451816745701,0,2024-01-18,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,-0.00393391030684509,-0.0,-0.0
2024-01-19,AAA,101.65,101.81,99.73,100.2,801442,-0.010663507109004766,101.3,,0.00923297870056552,,-0.03626045974800418,-0.04553248237759577,0.02075848303393212,0,2024-01-19,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,-0.010663507109004766,-0.0,-0.0
2024-01-22,AAA,100.36,101.96,100.02,101.25,1029523,0.010479041916167553,101.05,,0.011639877384691327,,-0.03553057725281006,-0.03553057725281006,0.019160493827160473,0,2024-01-22,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.010479041916167553,0.0,0.0
2024-01-23,AAA,101.44,103.02,101.08,102.64,1024119,0.013728395061728405,101.41,,0.010398142713735082,,-0.01995607753270312,-0.022289959992379482,0.018901013250194835,0,2024-01-23,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.013728395061728405,0.0,0.0
2024-01-24,AAA,102.51,103.36,101.87,102.72,1047493,0.000779423226812126,101.61800000000001,,0.01008073138333332,,0.0072563247695625055,-0.02152791007811017,0.014505451713395588,0,2024-01-24,0.0,0.1875,trend_momentum_v1,0.0,0.0,BLOCKED,Below confidence threshold,0.0,0.0,0.0,0.000779423226812126,0.0,0.0
